type,beta,delta,p,c,gamma,roh,alpha,SSR
bootstrap_1,1e-08,0.8916250438527016,1166.7349921633995,289.55853982884594,1.0298793096197225e-05,0.5,10.039889128831149,29.705380446404742
bootstrap_2,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,26.730802141978742
bootstrap_3,1e-08,0.9326742407694801,1000.0335009960052,303.22099266836796,1.0557879652855874e-05,0.5,9.613051104128282,28.66887072656091
bootstrap_4,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,28.658783714938007
bootstrap_5,1e-08,0.8761311815473593,1192.0071026657006,284.56325523711456,1.0308169479848656e-05,0.5,10.024942648669427,31.480010568609945
bootstrap_6,1e-08,0.9368846446031207,1001.0362737562915,304.5150228695393,1.0557934016504948e-05,0.5,9.61290357870097,27.65965038655362
bootstrap_7,1e-08,0.9326742407694801,1000.0335009960052,303.22099266836796,1.0557879652855874e-05,0.5,9.613051104128282,28.999599012610762
bootstrap_8,1e-08,0.9332370243441571,1000.0000032299715,303.4121776132011,1.0558236222629666e-05,0.5,9.612461568052986,31.175255904499675
bootstrap_9,1e-08,0.8916242041675606,1166.735305161932,289.55824133226116,1.0298792426963708e-05,0.5,10.039890235769267,31.389323160932207
bootstrap_10,1e-08,1.457265762143222,47787.53032229685,468.1845626573526,1.0605428255376871e-05,0.4998824555562995,9.535545004895344,29.283367019721386
bootstrap_11,1e-08,0.8916250735432341,1166.7353000292958,289.55852508277235,1.029879307749433e-05,0.5,10.039889168006576,33.36857648211384
bootstrap_12,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.121066695389143
bootstrap_13,1e-08,0.9332410246976084,1000.0025341734531,303.4133615787167,1.0558210927130955e-05,0.5,9.612503092922186,29.741730036105384
bootstrap_14,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,31.879359202014797
bootstrap_15,1e-08,1.4572662584370701,47787.53624460999,468.18459489829,1.0605428368892625e-05,0.4998824557845113,9.535544812938648,28.621989750932876
bootstrap_16,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,31.369391421978086
bootstrap_17,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.250989582218278
bootstrap_18,1e-08,0.9332410246976084,1000.0025341734531,303.4133615787167,1.0558210927130955e-05,0.5,9.612503092922186,30.2846459107884
bootstrap_19,1e-08,0.8761062790976009,1191.946260782931,284.5542847730402,1.0308186836170952e-05,0.5,10.02491318007013,28.105624753847213
bootstrap_20,1e-08,1.4572657641492661,47787.53048076118,468.1845630694241,1.060542825856654e-05,0.4998824555557182,9.535544999877335,30.428097085510785
bootstrap_21,1e-08,0.8916242041675606,1166.735305161932,289.55824133226116,1.0298792426963708e-05,0.5,10.039890235769267,30.15948983468032
