type,beta,delta,p,c,gamma,roh,alpha,SSR
bootstrap_1,1e-08,0.030620954755264836,156.0,499.84329573530727,0.00026909093029409934,10.0,10.50521766426457,83.7959396552176
bootstrap_2,1e-08,0.030615842993574838,156.0,500.0,0.0002691088723249256,10.0,10.532263283041134,87.82343422895305
bootstrap_3,1e-08,0.010366064690570033,156.0,472.7350258018382,0.0005779058664428386,10.0,9.81629921957775,91.69588168934453
bootstrap_4,1e-08,0.04342929058832745,156.0,497.10194749312984,0.0002712147890810259,10.0,9.164949779677988,95.27072998912189
bootstrap_5,1e-08,0.05981707887660317,156.0,500.0,0.0006533073292921338,10.0,10.530510178760709,96.57452296157636
bootstrap_6,1e-08,0.010467034350056517,156.0,443.66755266183134,0.0005547672549931886,10.0,9.830014734294819,86.56387909191088
bootstrap_7,1e-08,0.045102846780200836,156.0,498.70201590048964,0.00027169803787486797,10.0,9.07791717378646,94.76085390137003
bootstrap_8,1e-08,0.010607147825075179,156.0,453.86878048998176,0.000544407000563772,10.0,9.834345644629822,87.49224182503397
bootstrap_9,1e-08,0.045051368325911986,156.0,498.64275578027355,0.0002716650887735666,10.0,9.081053454018768,99.49359865745863
bootstrap_10,1e-08,0.01,156.0,500.0,0.0002554,10.0,10.531370385024564,97.47220875451573
bootstrap_11,1e-08,0.047181700124312984,156.0,497.5896441622281,0.00026965637451390525,10.0,9.159617897490683,93.68288706570439
bootstrap_12,1e-08,0.030220250889381434,156.0,499.979451804011,0.00026940043950119633,10.0,10.53163203044919,81.98749995227121
bootstrap_13,1e-08,0.031091523746390716,156.0,499.98969758822193,0.0002694537806708889,10.0,10.529878892080056,89.49608068234838
bootstrap_14,1e-08,0.04460883361001579,156.0,498.26000974868185,0.00027135334958235666,10.0,9.083940720989267,92.00048174277117
bootstrap_15,1e-08,0.04594866010617131,156.0,498.0630314606015,0.00027254167526444197,10.0,8.994280175955549,91.42830397450719
bootstrap_16,1e-08,0.04512468949949416,156.0,498.71010538832473,0.00027170961843403485,10.0,9.076474333801658,95.12380123615985
bootstrap_17,1e-08,0.045303192010206536,156.0,496.7210985434074,0.00027231562999127114,10.0,9.16881865722311,92.04949596718063
bootstrap_18,1e-08,0.04249201031396763,156.0,458.96871409564784,0.00026714199690482663,10.0,9.150773736916186,98.07649829815043
bootstrap_19,1e-08,0.04469449174931744,156.0,498.2418427079084,0.0002719980676296236,10.0,9.154684280641094,88.84484952709589
bootstrap_20,1e-08,0.047178213432289486,156.0,497.5034182940583,0.00026965143054208287,10.0,9.162609557779579,96.1697010715531
bootstrap_21,1e-08,0.010425867489946224,156.0,447.5417604906361,0.0005633069422142444,10.0,9.812374012239385,94.07206036076245
bootstrap_22,1e-08,0.010617731970419408,156.0,453.2831463007932,0.0005462790694605246,10.0,9.838656734643083,91.58936175384893
bootstrap_23,1e-08,0.010358771671735701,156.0,473.2004081161054,0.0005789298376388524,10.0,9.81818142789788,93.539721759922
bootstrap_24,1e-08,0.010067463823395403,332.18856265772706,480.5370833227292,0.000791338167337877,10.0,10.299813002598205,83.32041218983977
bootstrap_25,1e-08,0.02991390220488397,156.0,499.99849754855325,0.00026868012688524687,10.0,10.53231195818799,88.37075521991395
bootstrap_26,1e-08,0.0600827666810249,156.0,500.0,0.0006540547136625448,10.0,10.53165163927078,91.45387733464126
bootstrap_27,1e-08,0.030725246733604498,156.0,500.0,0.00026915334696373173,10.0,10.532399999999996,99.72656630125022
bootstrap_28,1e-08,0.06058294455925167,156.0,500.0,0.0006156605859166087,10.0,10.53217040418011,82.86952236114911
bootstrap_29,1e-08,0.057421156057346406,156.0,466.6032248098427,0.0006148325016784846,10.0,10.467155180474752,88.07503199768527
bootstrap_30,1e-08,0.04343807127619602,156.0,497.13124307425005,0.00027122024148344795,10.0,9.163560581729826,91.84542862483876
bootstrap_31,1e-08,0.030615842993574838,156.0,500.0,0.0002691088723249256,10.0,10.532263283041134,93.76747769954942
bootstrap_32,1e-08,0.045294250194218365,156.0,496.71756840022266,0.0002723114022772003,10.0,9.16874726278655,87.32421251118637
bootstrap_33,1e-08,0.04470690798193429,156.0,498.21557548844646,0.00027166104304163924,10.0,9.109118560391863,94.00281875293494
bootstrap_34,1e-08,0.04412714586717392,156.0,493.5199203705055,0.000271202081579895,10.0,9.38402944438176,94.12966822247367
bootstrap_35,1e-08,0.030615842993574838,156.0,500.0,0.0002691088723249256,10.0,10.532263283041134,99.24002225305009
bootstrap_36,1e-08,0.043438547604281834,156.0,497.1320957895367,0.0002712205623096143,10.0,9.163518448305348,87.24406521309669
bootstrap_37,1e-08,0.01039471017710952,156.0,466.7577789601107,0.0005709871704752064,10.0,9.91092484854368,87.66488638676348
bootstrap_38,1e-08,0.044686151238631996,156.0,498.0959199740636,0.00027146526702025446,10.0,9.087258571572864,98.65818329362784
bootstrap_39,1e-08,0.03315357499354188,156.0,488.99066405170663,0.0002706132185685945,10.0,10.530759341745279,99.52713778058035
bootstrap_40,1e-08,0.04754828757224968,156.0,499.2628734423097,0.00026975252478696605,10.0,9.135922013069514,95.8037370320263
bootstrap_41,1e-08,0.04512437192538196,156.0,498.7101937808767,0.00027170937424393914,10.0,9.076475178162314,99.48101008783327
